DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-1614:25
",77988,https://losangeles.craigslist.org/lac/ctd/d/bloomington-2018-toyota-land-cruiser-4x4/7421684407.html,2018 Toyota Land Cruiser,2018,53794,,,4wd,other,,,clean,automatic,SUV,JTMCY7AJ6J4063877,0,0,0
"
2021-12-1613:22
",6995,https://losangeles.craigslist.org/sfv/hvd/d/san-diego-genie-gs1930-electric/7421656794.html,delivery available,deli,,,,,,,,,,,,Genie,GS1930,0
"
2021-12-0117:17
",315,https://losangeles.craigslist.org/lac/bfd/d/san-dimas-manual-lift-truck-pallet/7415268963.html,delivery available,deli,,,,,,,,,,,,0,0,27x48 Forks 4400#/5500# Cap.
"
2021-12-1516:47
",0,https://losangeles.craigslist.org/sfv/rvd/d/camas-1998-van-hool-charter-tour-bus/7421319273.html, Van Hool Tour Bus, Van,405000,,,,diesel,,,,automatic,,,0,0,0
"
2021-12-1516:16
",46588,https://losangeles.craigslist.org/lac/ctd/d/bloomington-2015-cadillac-escalade/7421309068.html,2015 Cadillac Escalade,2015,77269,,8 cylinders,4wd,gas,white,,clean,automatic,SUV,1GYS4BKJ2FR300300,0,0,0
"
2021-12-1514:28
",6495,https://losangeles.craigslist.org/sfv/hvd/d/san-diego-skyjack-sj4626-electric/7421267241.html,delivery available,deli,,,,,,,,,,,,SkyJack,SJ4626,0
"
2021-12-1514:28
",3495,https://losangeles.craigslist.org/sgv/hvd/d/san-diego-long-reach-single-double/7421267150.html,delivery available,deli,,,,,,,,,,,,Long Reach,LFDA505FC34255LEBN,0
"
2021-12-1514:28
",14995,https://losangeles.craigslist.org/lac/hvd/d/san-diego-genie-gs-3268-rough-terrain/7421267113.html,delivery available,deli,,,,,,,,,,,,Genie,GS3268,0
"
2021-12-1510:53
",0,https://losangeles.craigslist.org/lac/bfd/d/san-dimas-galvanized-lift-truck-pallet/7421167033.html,delivery available,deli,,,,,,,,,,,,0,GALVANIZED,27x48 Forks with 6600# Cap.
"
2021-12-0712:18
",0,https://losangeles.craigslist.org/lac/bfd/d/fullerton-electric-forklifts-walkie/7417773028.html,,,,,,,,,,,,,,EKKO,0,0
