DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,engine displacement (CC),make / manufacturer,model name / number,size / dimensions
"
2021-12-2111:34
",5900,https://losangeles.craigslist.org/sgv/mcy/d/rowland-heights-2016-triumph-speedmaster/7423604407.html,2016 2016 triumph speedmaster,2016,4300,,,,gas,,,,manual,,,0,0,0,0
"
2021-11-2910:44
",0,https://losangeles.craigslist.org/sfv/mpo/d/sunland-british-motorcycle-parts/7414160507.html,,,,fair,,,,,,,,,,0,triumph bsa norton,all,0
"
2021-12-0317:56
",40,https://losangeles.craigslist.org/lgb/pts/d/san-pedro-triumph-scrambler-seat-oem/7416181669.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0415:57
",20,https://losangeles.craigslist.org/wst/mpo/d/san-pedro-2016-triumph-scrambler-front/7416581325.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2107:00
",60,https://losangeles.craigslist.org/lgb/clt/d/lakewood-triumph-limoges-imperial/7423465791.html,,,,good,,,,,,,,,,0,Triumph Farberware,Imperial Chantilly-T,0
"
2021-12-2106:49
",3389,https://losangeles.craigslist.org/sfv/tld/d/gardena-triumph-post-auto-lift-car/7423461410.html,delivery available,deli,,new,,,,,,,,,,0,"4 Post Lift, 4 Post Auto Lift","Two Post Lift, Two Post Car Lift","2 Post Lift, 2 Post Car Lift"
"
2021-11-2105:20
",100,https://losangeles.craigslist.org/wst/mpo/d/los-angeles-triumph-650-crankcases/7410843272.html,,,,fair,,,,,,,,,,0,0,0,0
"
2021-12-2020:58
",3500,https://losangeles.craigslist.org/lgb/mpo/d/fullerton-2007-triumph-bonaville/7423379519.html,,,,,,,,,,,,,,0,0,Triumph,0
"
2021-12-2018:28
",260,https://losangeles.craigslist.org/sfv/atq/d/burbank-typewriter-triumph-1938/7423349114.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2017:12
",5500,https://losangeles.craigslist.org/sgv/mcy/d/altadena-2014-triumph-street-triple/7423328430.html,street legal,stre,9283,excellent,,,gas,white,,clean,manual,sport bike,,675,0,0,0
"
2021-12-2015:47
",999,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-qt-heavy-duty-floor/7423300903.html,,,,new,,,,,,,,,,0,Chef AAA,Manufacture Warranty,Brand New
